Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,player,overall,potential,value_eur,age,total_stats,best_position,nationality,position_group,ability_tier,cell
Pol Lozano,Pol Lozano Vizuete,72,81,5000000,"CDM,CM",CM,Spain,https://cdn.sofifa.net/players/244/407/23_60.png,22,177,62,1883,409,RCD Espanyol de Barcelona,11000,11500000,SUB,2024,6,2017,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,73,60,68,69,65,74,55,55,46,75,40,66,63,45,70,72,74,73,76,68,76,73,60,86,68,64,75,66,64,75,50,65,67,67,66,8,7,8,11,14,66,67,68,68,68,67,72,71,73,71,71,73,71,70,68,70,18,Pol Lozano,72,81,5000000,22,1883,CM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
F. Ferreyra,Facundo Ferreyra,72,72,2000000,ST,ST,Argentina,https://cdn.sofifa.net/players/213/432/23_60.png,31,186,76,1729,360,Club Atlético Independiente,12000,3000000,ST,2023,16,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Low,59,73,59,73,30,66,49,74,74,67,70,72,48,47,53,75,57,60,75,72,65,74,66,60,73,68,58,23,74,66,73,76,22,29,26,11,11,8,14,15,72,68,71,71,71,68,71,68,65,68,51,51,51,48,47,48,21,F. Ferreyra,72,72,2000000,31,1729,ST,Argentina,Forward,Rotation 70-77,Forward / Rotation 70-77
J. Elliott,Jack Elliott,72,75,2700000,"CB,CDM",CB,England,https://cdn.sofifa.net/players/238/008/23_60.png,26,198,83,1467,326,Philadelphia Union,6000,4300000,CB,2024,3,2017,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Low,High,52,24,48,50,73,79,21,21,69,66,24,46,25,41,71,60,51,53,31,70,31,34,72,87,78,18,75,69,21,33,34,70,75,74,71,8,10,15,7,6,47,43,44,44,44,43,49,51,59,51,65,71,65,67,74,67,17,J. Elliott,72,75,2700000,26,1467,CB,England,Defender,Rotation 70-77,Defender / Rotation 70-77
Alminho Boas,Alam Cristian Boas Anjos,72,72,2300000,"CDM,CM,CB",CDM,Brazil,https://cdn.sofifa.net/players/230/329/23_60.png,26,180,75,1755,372,Clube Atlético Mineiro,22000,4099999,SUB,2025,30,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,60,39,62,66,69,76,43,41,58,75,37,60,48,47,69,70,65,55,71,68,85,23,69,77,72,42,85,69,55,58,49,65,67,73,70,9,10,12,12,11,56,59,58,58,58,59,64,63,68,63,68,72,68,69,72,69,19,Alminho Boas,72,72,2300000,26,1755,CDM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Jordi Quintillà,Jordi Quintillà Guasch,72,72,2100000,"CDM,CM",CM,Spain,https://cdn.sofifa.net/players/210/619/23_60.png,28,181,73,1987,416,FC St. Gallen 1879,9000,3000000,CDM,2025,8,2022,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,68,68,73,74,65,68,65,66,57,77,56,70,73,73,76,77,65,70,79,71,81,70,60,81,63,72,64,68,66,74,71,72,69,64,58,9,10,12,13,7,70,71,71,71,71,71,72,72,72,72,72,72,72,70,67,70,19,Jordi Quintillà,72,72,2100000,28,1987,CM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Elady,Eladio Zorrilla Jiménez,72,72,2000000,"ST,LM,RM",ST,Spain,https://cdn.sofifa.net/players/244/667/23_60.png,31,176,75,1851,395,CD Tenerife,9000,3200000,ST,2023,7,2021,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,75,72,65,74,39,70,68,76,70,65,51,75,65,68,60,74,73,76,75,65,74,72,80,70,74,70,55,28,72,66,73,69,45,31,34,12,8,12,5,9,72,72,72,72,72,72,72,72,66,72,58,55,58,56,52,56,17,Elady,72,72,2000000,31,1851,ST,Spain,Forward,Rotation 70-77,Forward / Rotation 70-77
Iza Carcelén,Isaac Carcelén Valencia,72,72,2100000,"RB,RM",RB,Spain,https://cdn.sofifa.net/players/220/348/23_60.png,29,174,70,1938,408,Cádiz CF,19000,4400000,SUB,2023,20,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,77,58,68,69,67,69,75,47,54,72,56,70,72,78,59,69,78,77,71,56,74,69,55,89,57,69,75,68,69,59,69,62,67,71,65,9,11,11,10,7,65,67,66,66,66,67,68,71,69,71,72,70,72,72,67,72,16,Iza Carcelén,72,72,2100000,29,1938,RB,Spain,Defender,Rotation 70-77,Defender / Rotation 70-77
J. Rothwell,Joe Rothwell,72,73,2700000,CM,RM,England,https://cdn.sofifa.net/players/213/693/23_60.png,27,183,77,1910,411,AFC Bournemouth,32000,5600000,SUB,2026,14,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,77,62,70,75,60,67,67,62,59,72,55,78,65,63,70,73,81,74,78,70,77,59,35,86,64,66,59,64,68,72,56,65,52,64,62,14,8,13,15,9,69,72,71,71,71,72,73,73,73,73,71,69,71,70,64,70,20,J. Rothwell,72,73,2700000,27,1910,RM,England,Midfield,Rotation 70-77,Midfield / Rotation 70-77
L. Villafañez,Lucas Villafañez,72,72,2300000,"CAM,CM,LW",CAM,Argentina,https://cdn.sofifa.net/players/214/973/23_60.png,30,171,65,1847,385,APOEL Nicosia FC,950,5100000,SUB,2024,10,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium,73,67,72,75,42,56,68,67,49,75,66,76,77,70,71,74,75,72,77,69,82,68,60,70,49,64,53,43,71,72,63,69,38,42,40,9,7,11,10,9,69,72,71,71,71,72,72,72,71,72,62,60,62,59,51,59,17,L. Villafañez,72,72,2300000,30,1847,CAM,Argentina,Midfield,Rotation 70-77,Midfield / Rotation 70-77
P. Seguin,Paul Seguin,72,73,2700000,CM,CM,Germany,https://cdn.sofifa.net/players/221/885/23_60.png,27,185,82,1880,403,1. FC Union Berlin,21000,5100000,SUB,2022,14,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,61,59,68,71,68,76,59,56,66,75,51,68,52,43,71,77,68,55,69,73,65,65,72,83,75,63,69,69,59,73,48,73,69,67,66,14,11,6,15,8,67,67,67,67,67,67,71,70,73,70,71,73,71,71,71,71,20,P. Seguin,72,73,2700000,27,1880,CM,Germany,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Son,Fco. Javier Hidalgo Gómez,72,72,2100000,"RB,RWB,LWB",RB,Spain,https://cdn.sofifa.net/players/252/086/23_60.png,28,178,72,1920,417,Levante Unión Deportiva,9000,3400000,RWB,2024,2,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,87,56,65,69,64,76,76,54,59,66,49,69,75,55,58,66,86,88,74,64,76,64,63,84,73,52,76,64,66,59,59,70,61,67,70,10,9,9,10,9,66,68,66,66,66,68,67,71,66,71,72,68,72,72,69,72,17,Son,72,72,2100000,28,1920,RB,Spain,Defender,Rotation 70-77,Defender / Rotation 70-77
Aketxe,Ager Aketxe Barrutia,72,72,2400000,"CAM,RM",CAM,Spain,https://cdn.sofifa.net/players/213/937/23_60.png,28,174,69,1917,390,SD Eibar,9000,3800000,CAM,2023,10,2021,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,60,77,78,72,44,59,77,72,40,78,60,70,84,89,76,71,66,55,87,63,88,88,40,56,65,84,51,41,64,77,73,66,40,50,48,15,14,12,15,8,69,71,70,70,70,71,72,72,72,72,61,61,61,58,52,58,20,Aketxe,72,72,2400000,28,1917,CAM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
L. Fomba,Lamine Fomba,72,79,4400000,"CDM,CM",CB,France,https://cdn.sofifa.net/players/236/721/23_60.png,24,188,68,1908,407,Nîmes Olympique,5000,8600000,CDM,2023,12,2019,-,Right,2,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,68,52,63,73,72,79,59,47,70,70,44,71,57,45,64,73,65,70,82,69,79,67,81,86,79,48,71,73,61,62,45,68,70,73,70,14,7,14,9,13,66,65,65,65,65,65,68,69,70,69,73,73,73,73,74,73,19,L. Fomba,72,79,4400000,24,1908,CB,France,Defender,Rotation 70-77,Defender / Rotation 70-77
Teixe Gaúcho,Jorge Pietro Teixeira Lima,72,72,2400000,CB,CB,Brazil,https://cdn.sofifa.net/players/230/322/23_60.png,22,188,79,1857,399,Cuiabá,10000,4600000,CB,2025,5,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,73,50,63,67,71,75,71,51,77,68,49,65,33,32,66,68,71,75,70,68,71,45,90,71,76,49,75,70,63,57,59,69,73,69,68,15,11,13,12,6,65,65,63,63,63,65,66,68,67,68,72,71,72,72,72,72,19,Teixe Gaúcho,72,72,2400000,22,1857,CB,Brazil,Defender,Rotation 70-77,Defender / Rotation 70-77
G. Courtet,Gaëtan Courtet,72,72,1500000,ST,ST,France,https://cdn.sofifa.net/players/203/699/23_60.png,33,180,73,1802,370,En Avant de Guingamp,8000,2600000,SUB,2024,18,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,65,75,64,70,27,69,64,75,69,68,69,69,61,65,54,72,65,65,72,68,74,76,81,71,72,77,54,31,75,66,68,69,19,21,19,8,15,13,14,12,72,70,71,71,71,70,71,70,65,70,53,51,53,49,45,49,20,G. Courtet,72,72,1500000,33,1802,ST,France,Forward,Rotation 70-77,Forward / Rotation 70-77
Raúl Guti,José Raúl Gutiérrez Parejo,72,77,3400000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/225/204/23_60.png,25,177,74,1956,417,Elche CF,14000,7700000,SUB,2025,8,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,66,67,70,69,67,78,58,67,60,75,58,66,66,64,73,72,67,65,66,76,74,76,58,87,79,64,70,71,65,72,53,69,64,69,64,8,15,12,11,11,71,68,69,69,69,68,72,71,74,71,72,74,72,71,71,71,20,Raúl Guti,72,77,3400000,25,1956,CM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Álvaro Tejero,Álvaro Tejero Sacristán,72,75,2900000,"RB,LB",RM,Spain,https://cdn.sofifa.net/players/231/856/23_60.png,25,174,69,1961,416,SD Eibar,7000,4900000,RB,2024,15,2019,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,80,64,67,71,65,69,72,64,55,67,38,69,69,67,64,70,78,82,84,66,84,70,76,91,60,66,63,67,69,64,62,66,64,66,68,13,7,10,9,7,68,70,68,68,68,70,70,73,70,73,73,69,73,72,67,72,17,Álvaro Tejero,72,75,2900000,25,1961,RM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Hugo Rubiães,Hugo Adryan Rubiães Chaves,72,72,2300000,"CDM,RB",CDM,Brazil,https://cdn.sofifa.net/players/230/530/23_60.png,26,175,75,1907,399,Fluminense,15000,4400000,RB,2025,4,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,67,61,61,69,75,66,48,55,61,71,60,67,70,54,66,71,72,62,76,72,74,74,63,67,66,64,67,76,58,54,53,62,78,74,76,9,15,18,8,8,66,64,65,65,65,64,67,66,69,66,71,72,71,72,72,72,19,Hugo Rubiães,72,72,2300000,26,1907,CDM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
M. Cafaro,Mathieu Cafaro,72,75,3100000,"LM,RM,CM",CAM,France,https://cdn.sofifa.net/players/231/236/23_60.png,25,178,74,1890,397,AS Saint-Étienne,12000,0,RW,2023,18,2022,TRUE,Right,3,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,75,68,70,75,47,62,70,65,47,70,61,75,71,73,68,72,79,72,81,70,83,72,59,76,56,71,59,48,68,69,69,68,44,50,45,6,10,11,10,10,69,71,70,70,70,71,73,73,70,73,65,62,65,62,55,62,18,M. Cafaro,72,75,3100000,25,1890,CAM,France,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Fábio Melitinho,Fábio Kel Melo Feijó,72,72,2600000,"CAM,LM",CAM,Brazil,https://cdn.sofifa.net/players/230/466/23_60.png,26,170,67,1781,349,Fluminense,17000,4900000,SUB,2025,10,2022,-,Right,5,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Low,46,73,75,75,24,56,73,72,42,74,73,74,83,75,75,73,40,51,76,76,85,74,50,69,50,75,54,20,74,75,72,83,10,33,31,13,10,8,8,13,69,70,70,70,70,70,72,72,71,72,54,54,54,49,41,49,20,Fábio Melitinho,72,72,2600000,26,1781,CAM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
L. Castro,Lucas Castro,72,72,1400000,"CM,CAM",CM,Argentina,https://cdn.sofifa.net/players/205/633/23_60.png,33,182,76,1971,411,Club Atlético Sarmiento,10000,2000000,CM,2022,19,2022,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Medium,66,68,73,74,64,66,72,63,68,74,67,75,76,68,71,76,70,63,69,73,73,77,62,64,67,72,65,68,69,72,68,72,55,67,65,6,7,9,15,5,72,71,72,72,72,71,72,72,72,72,70,71,70,70,68,70,17,L. Castro,72,72,1400000,33,1971,CM,Argentina,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Alam Basteirinho,Marcos Alam Bastos Domingues,72,72,2300000,CAM,CAM,Brazil,https://cdn.sofifa.net/players/230/464/23_60.png,30,183,74,1757,361,Santos,19000,4400000,CAM,2025,29,2022,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Low,62,65,72,73,36,53,68,66,48,75,67,76,65,73,69,73,61,63,66,71,61,54,51,36,58,69,63,48,71,76,71,71,10,47,44,11,10,10,12,14,67,71,70,70,70,71,72,71,70,71,57,58,57,54,50,54,20,Alam Basteirinho,72,72,2300000,30,1757,CAM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
K. Davis,Keinan Davis,72,77,3600000,ST,ST,England,https://cdn.sofifa.net/players/231/743/23_60.png,24,191,82,1759,389,Watford,45000,0,SUB,2023,7,2015,TRUE,Left,2,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,69,69,54,72,43,82,47,72,74,63,64,73,49,40,40,75,66,72,65,67,66,72,72,65,93,63,80,44,70,58,60,67,44,38,23,7,14,9,9,5,74,67,69,69,69,67,68,67,63,67,56,57,56,54,58,54,17,K. Davis,72,77,3600000,24,1759,ST,England,Forward,Rotation 70-77,Forward / Rotation 70-77
M. Cuisance,Michaël Cuisance,72,81,5000000,"CM,CAM",CAM,France,https://cdn.sofifa.net/players/239/744/23_60.png,22,181,74,1945,404,Venezia FC,4000,9000000,CM,2025,10,2022,-,Left,3,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,71,66,76,76,53,62,76,59,49,75,63,76,83,74,78,78,80,63,83,69,75,77,61,63,64,74,57,48,63,75,61,62,49,61,54,9,14,11,8,15,69,72,71,71,71,72,75,74,74,74,67,66,67,64,60,64,20,M. Cuisance,72,81,5000000,22,1945,CAM,France,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Kauã Abranches,Kauã Ricardo Abranches Simões,72,72,2600000,"CAM,RM,RB",RM,Brazil,https://cdn.sofifa.net/players/230/272/23_60.png,26,177,70,1879,400,Fortaleza,11000,4900000,CAM,2025,71,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,84,64,67,73,51,61,72,64,43,70,58,72,49,60,58,73,87,81,79,81,75,63,58,77,59,66,49,66,77,71,53,68,34,58,57,8,10,12,20,19,70,72,72,72,72,72,72,72,72,72,70,65,70,68,58,68,23,Kauã Abranches,72,72,2600000,26,1879,RM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Eduardo Santos,Eduardo Gonzaga Mendes Santos,72,76,3000000,"CB,RB",CB,Brazil,https://cdn.sofifa.net/players/267/839/23_60.png,24,196,90,1705,384,SK Slavia Praha,750,6800000,CB,2026,12,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,68,45,59,66,72,74,45,34,71,68,44,67,28,33,63,69,65,71,58,68,43,63,59,56,85,52,75,72,47,66,36,73,71,73,70,14,12,7,8,12,61,60,61,61,61,60,64,63,66,63,67,71,67,69,74,69,19,Eduardo Santos,72,76,3000000,24,1705,CB,Brazil,Defender,Rotation 70-77,Defender / Rotation 70-77
Portillo,Francisco Portillo Soler,72,72,1900000,"RM,LM",RM,Spain,https://cdn.sofifa.net/players/193/844/23_60.png,32,169,60,1931,397,Unión Deportiva Almería,18000,4200000,SUB,2023,8,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,64,69,74,73,55,62,75,70,59,74,64,73,76,65,72,71,66,62,75,72,85,68,56,65,64,69,57,56,73,75,64,70,52,56,53,14,15,8,16,11,71,71,71,71,71,71,72,72,72,72,66,66,66,64,61,64,22,Portillo,72,72,1900000,32,1931,RM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Kelivelson,Kelivelson Vaz Laranjeiras,72,72,2300000,"CDM,RB,RM",CB,Brazil,https://cdn.sofifa.net/players/230/452/23_60.png,26,182,78,1830,391,Ceará Sporting Club,10000,4400000,RB,2025,2,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,70,47,66,62,72,74,51,51,73,72,39,62,61,62,71,61,72,68,56,72,60,44,82,68,73,41,81,71,44,67,63,70,73,72,73,7,15,7,8,10,60,60,60,60,60,60,64,65,67,65,70,72,70,71,72,71,19,Kelivelson,72,72,2300000,26,1830,CB,Brazil,Defender,Rotation 70-77,Defender / Rotation 70-77
E. Durm,Erik Durm,72,72,2000000,"RB,LB",RB,Germany,https://cdn.sofifa.net/players/207/920/23_60.png,30,182,70,1851,394,1. FC Kaiserslautern,9000,3100000,LB,2023,37,2022,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,71,55,65,68,68,67,69,52,58,71,43,66,60,35,60,70,76,67,69,71,67,65,72,75,63,53,68,69,67,62,55,69,70,70,68,12,14,8,15,11,65,66,66,66,66,66,68,70,69,70,72,71,72,72,70,72,21,E. Durm,72,72,2000000,30,1851,RB,Germany,Defender,Rotation 70-77,Defender / Rotation 70-77
L. Baker,Lewis Baker,72,73,2700000,"CM,CDM",CM,England,https://cdn.sofifa.net/players/211/504/23_60.png,27,182,72,2001,416,Stoke City,21000,5300000,CDM,2024,8,2022,-,Right,5,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,66,69,72,72,66,71,70,63,58,73,71,70,74,74,73,75,67,66,72,70,71,77,62,76,69,73,72,67,65,72,76,71,68,67,61,8,15,12,8,6,70,70,70,70,70,70,73,72,73,72,71,72,71,70,69,70,18,L. Baker,72,73,2700000,27,2001,CM,England,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Curro Sánchez,Francisco José Sánchez Rodríguez,72,73,2800000,"RM,CAM,CM",CAM,Spain,https://cdn.sofifa.net/players/231/733/23_60.png,26,173,71,1798,380,Burgos CF,7000,4600000,CAM,2024,16,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,76,72,70,73,41,48,70,73,43,68,60,73,75,73,67,71,78,74,79,65,79,69,33,67,43,75,40,44,69,75,70,72,36,46,37,12,9,9,8,8,69,72,71,71,71,72,73,73,69,73,61,57,61,58,48,58,17,Curro Sánchez,72,73,2800000,26,1798,CAM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Leordinho Paes,Manuel Leonardo Conceição Paes,72,72,2800000,"CAM,LM",CAM,Brazil,https://cdn.sofifa.net/players/230/461/23_60.png,22,180,69,1810,376,Santos,16000,5300000,CAM,2025,30,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,69,64,73,73,43,54,71,67,51,73,62,73,72,67,69,76,68,70,73,65,70,55,67,66,54,66,37,46,74,78,64,66,26,54,42,11,15,12,9,7,68,72,71,71,71,72,72,72,72,72,62,60,62,59,51,59,19,Leordinho Paes,72,72,2800000,22,1810,CAM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Kiko Olivas,Francisco José Olivas Alba,72,72,1100000,CB,CB,Spain,https://cdn.sofifa.net/players/186/684/23_60.png,33,185,83,1666,360,FC Cartagena,7000,1800000,SUB,2024,21,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,46,49,60,59,73,73,44,53,72,73,53,54,30,36,66,67,40,51,54,76,33,54,77,66,80,36,64,74,50,60,38,72,73,73,67,8,8,15,7,14,61,56,58,58,58,56,62,60,67,60,67,72,67,68,72,68,19,Kiko Olivas,72,72,1100000,33,1666,CB,Spain,Defender,Rotation 70-77,Defender / Rotation 70-77
M. Melluso,Matías Melluso,72,78,3500000,"LB,LWB",LB,Argentina,https://cdn.sofifa.net/players/240/956/23_60.png,24,170,63,1787,387,Gimnasia y Esgrima La Plata,10000,6000000,LB,2023,32,2017,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High,78,44,61,71,68,65,69,41,63,66,38,70,55,33,65,72,80,76,75,69,74,47,64,76,61,45,63,65,59,51,44,64,66,72,70,13,13,14,12,6,61,65,62,62,62,65,65,69,66,69,72,69,72,72,69,72,20,M. Melluso,72,78,3500000,24,1787,LB,Argentina,Defender,Rotation 70-77,Defender / Rotation 70-77
Talles Magno,Talles Magno Bacelar Martins,72,84,5500000,"LM,CF",RM,Brazil,https://cdn.sofifa.net/players/253/755/23_60.png,20,186,70,1728,382,New York City FC,5000,9400000,ST,2026,43,2021,-,Right,4,5,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,82,61,60,80,37,62,60,64,54,65,57,79,64,44,43,84,84,81,81,69,72,68,71,65,69,44,38,24,68,66,61,74,34,46,25,8,10,12,6,12,71,72,71,71,71,72,72,73,65,73,58,53,58,55,49,55,18,Talles Magno,72,84,5500000,20,1728,RM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Lázaro,Lázaro Vinicius Marques,72,85,5500000,"LM,CM,RM",LM,Brazil,https://cdn.sofifa.net/players/271/673/23_60.png,20,181,75,1676,365,Unión Deportiva Almería,13000,15500000,SUB,2028,14,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,69,58,68,73,38,59,63,64,66,75,47,78,49,46,66,76,71,67,58,69,72,53,61,64,63,49,41,29,67,71,54,53,33,42,33,7,7,11,14,10,68,70,70,70,70,70,72,73,69,73,58,56,58,55,50,55,18,Lázaro,72,85,5500000,20,1676,LM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
T. Jantschke,Tony Jantschke,72,72,1500000,"CB,RB",CB,Germany,https://cdn.sofifa.net/players/190/520/23_60.png,32,177,76,1758,376,Borussia Mönchengladbach,18000,2600000,SUB,2023,24,2009,-,Right,2,2,2,-,https://cdn.sofifa.net/flags/de.png,-,-,Low,Medium,64,41,62,66,73,70,63,35,66,70,37,62,43,40,69,67,61,66,66,75,68,48,83,66,72,44,68,77,45,53,51,78,74,73,73,11,6,7,6,13,57,59,58,58,58,59,62,64,66,64,72,72,72,72,72,72,18,T. Jantschke,72,72,1500000,32,1758,CB,Germany,Defender,Rotation 70-77,Defender / Rotation 70-77
Dani Raba,Daniel Raba Antolin,72,73,2800000,"RM,RW",CAM,Spain,https://cdn.sofifa.net/players/241/463/23_60.png,26,184,76,1749,371,CD Leganés,10000,4700000,SUB,2024,17,2022,-,Left,3,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,62,71,71,73,38,56,73,74,42,72,52,75,68,51,74,76,67,58,68,65,54,71,44,55,61,70,50,40,74,72,67,65,38,36,38,12,11,15,12,14,70,72,71,71,71,72,73,73,70,73,58,58,58,55,49,55,20,Dani Raba,72,73,2800000,26,1749,CAM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Akieme,Sergio Akieme Rodríguez,72,79,4500000,"LB,LWB,LM",LB,Spain,https://cdn.sofifa.net/players/226/103/23_60.png,24,175,70,1773,387,Unión Deportiva Almería,14000,10800000,LM,2026,15,2021,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,79,44,57,69,68,70,66,40,62,67,21,67,45,36,48,71,78,79,73,65,82,55,83,76,65,44,71,69,58,45,40,54,68,68,70,8,11,14,15,13,61,63,61,61,61,63,63,66,63,66,72,68,72,72,70,72,20,Akieme,72,79,4500000,24,1773,LB,Spain,Defender,Rotation 70-77,Defender / Rotation 70-77
Iván Jaime,Iván Jaime Pajuelo,72,82,5500000,"CAM,ST,LW",CAM,Spain,https://cdn.sofifa.net/players/246/070/23_60.png,21,180,72,1846,393,Futebol Clube de Famalicão,6000,12700000,SUB,2025,10,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,72,70,67,73,50,61,62,72,58,72,67,75,68,60,69,76,74,71,70,68,67,70,53,67,66,69,44,52,73,65,62,60,46,52,48,9,14,10,11,6,72,71,72,72,72,71,74,73,71,73,64,63,64,62,57,62,18,Iván Jaime,72,82,5500000,21,1846,CAM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Sebas Couteira,Sebastião Erick Couteira Baía,72,72,2800000,"CAM,RM",RW,Brazil,https://cdn.sofifa.net/players/230/267/23_60.png,22,178,70,1808,376,Club Athletico Paranaense,10000,5300000,RM,2025,26,2022,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,74,62,72,74,42,52,76,70,54,76,67,74,67,76,59,76,75,74,67,74,72,52,79,37,59,52,46,38,74,73,57,71,32,52,41,15,13,12,10,9,70,72,72,72,72,72,72,72,68,72,60,58,60,58,53,58,21,Sebas Couteira,72,72,2800000,22,1808,RW,Brazil,Forward,Rotation 70-77,Forward / Rotation 70-77
